1038,MT PLEASANT BUSINESS PARK OWNERS,Zimbabwe,Africa & Middle East,ZWE,Uncategorised,Real Estate Services,Uncategorised,Low,80101500
1039,FINANCIAL GAZETTE P/L,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Media,Low,80101508
1040,BANKERS ASSOCIATION OF ZIMBABWE,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,Others,Medium,43231505
1041,TELECONTRACT (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-PersEquip,Low,43191609
1042,COMPULINK SYSTEMS P/L,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,Srvc-Others,Low,43230000
1043,IMAGING SOLUTIONS,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Others,Low,80101508
1044,NYARADZO FUNERAL ASSURANCE,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,Others,Low,43231505
1045,VISUAL POINT GRAPHICS,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Media,Low,80101508
1046,SUNEAGLES INVESTMENTS,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Sponsorship,Low,80101508
1047,MESSRS.GILL~GODLONTON & GERRANS,Zimbabwe,Africa & Middle East,ZWE,Professional Services,Legal Services,CrAgencies,Low,80101500
1048,THOMSON REUTERS,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,Srvc-MrktData,Low,43232300
1049,ZIMSWITCH TECHNOLOGIES,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,SWDevelop,Low,43211505
1050,ZIMBABWE BUSINESS COUNCIL ON AIDS,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,Others,Low,43231505
1051,INSTITUTE OF DIRECTORS,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,Train&Dlvp,Low,86101606
1052,ZIMPOST (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,Couriers and Express Delivery Services,Courier&mail,Low,73151600
1053,KENAC COMPUTER SYSTEMS,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,Others,Low,43230000
1054,TOWERS WATSON,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,StaffBenefits,Low,43231505
1055,HIGHBROW WHOLESALERS,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,DistMkgServ,Low,80141500
1056,THE INSTITUTE OF INTERNAL AUDITORS,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,Train&Dlvp,Low,86101606
1057,POTRAZ,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,SWAppli,Low,81161703
1058,PERAGO FINANCIAL SYSTEM ENABLERS PTY,Zimbabwe,Africa & Middle East,ZAF,Professional Services,FINANCE,CorpFinance,Low,84111802
1059,PERAGO FINANCIAL SYSTEM ENABLERS PTY,Zimbabwe,Africa & Middle East,ZWE,Professional Services,FINANCE,CorpFinance,Low,84111802
